Path URL,Description,Entity,HTTP Methods,Success Response
"/api/films/duration/gt/{rd}
  ",Search Films where Rental Duration is greater than {rd},Film,GET,"Collection of Films
  "
"/api/payment/revenue/filmwise/
  ",Calculate Cumulative revenue of all Films (across all  stores),payment,GET,"Collection of Film title, amount
  "
/api/films/update/rentaldurtion/{id},Update Rental Duration of a Film,Film,PUT,"Film
  "
"/api/rental/toptenfilms
  ",Display top 10 most rented Films,Rental,GET,"Collection of Films
  "
/api/customers/update/{id}/phone,Update phone number of a Customer,Customer,PUT,"Customer
  "
"/api/staff/update/fn/{id}
  ",Update first name of Staff,Staff,PUT,"Staff
  "
/api/films/category/{category},Find all Films of specified  {category},Film,GET,"Collection of Films
  "
/api/customers/{id}/{addressId},Assign Address to a Customer,Customer,PUT,"Customer & Address details
  "
/api/store/{storeId}/manager/{manager_staff_id},Assign manager to a Store,Store,PUT,"Store & Address details
  "
/api/customers/update/{id}/ln,Update last name of Customer,Customer,PUT,"Customer
  "
"/api/actors/update/firstname/{id}
  ",Update First Name of an Actor,Actors,PUT," Actor
"
"/api/staff/email/{email}
  ",Search Staff by email,Staff,GET,"Staff
  "
"/api/store/city/{city}
  ",Search Store by City,Store,GET,"Collection of Store with Address
  "
"  /api/store/customer/{storeId}
  ",Display all Customers of a Store,Store,GET,"Collection of Customers
  "
